"","Verb","Tense","Person","Number","Data.point","Forms","Radical"
"313","Vendre","INF/PART",1,"sg","Dompierre","vãd(r)",NA
"314","Vendre","INF/PART",2,"sg","Dompierre","vãdy",NA
"315","Vendre","INF/PART",3,"sg","Dompierre","vãdy",NA
"316","Vendre","INF/PART",1,"pl","Dompierre","vãdyd",NA
"317","Vendre","INF/PART",2,"pl","Dompierre","vãdyd(ɑ)",NA
"318","Vendre","INF/PART",3,"pl","Dompierre","ã vãdã",NA
"319","Avoir","INF/PART",1,"sg","Dompierre","avɛr",NA
"320","Avoir","INF/PART",2,"sg","Dompierre","oɡy",NA
"321","Avoir","INF/PART",3,"sg","Dompierre","oɡy",NA
"322","Avoir","INF/PART",1,"pl","Dompierre","oɡyd",NA
"323","Avoir","INF/PART",2,"pl","Dompierre","oɡyd(ɑ)",NA
"324","Avoir","INF/PART",3,"pl","Dompierre","ãejã",NA
"325","Être","INF/PART",1,"sg","Dompierre","ɛt(r)",NA
"326","Être","INF/PART",2,"sg","Dompierre","eta",NA
"327","Être","INF/PART",3,"sg","Dompierre","eta",NA
"328","Être","INF/PART",1,"pl","Dompierre","(Missing)",NA
"329","Être","INF/PART",2,"pl","Dompierre","(Missing)",NA
"330","Être","INF/PART",3,"pl","Dompierre","ãetã",NA
"331","Pouvoir","INF/PART",1,"sg","Dompierre","pødɛr",NA
"332","Pouvoir","INF/PART",2,"sg","Dompierre","pøɡy",NA
"333","Pouvoir","INF/PART",3,"sg","Dompierre","pøɡy",NA
"334","Pouvoir","INF/PART",1,"pl","Dompierre","pøɡyd",NA
"335","Pouvoir","INF/PART",2,"pl","Dompierre","pøɡyd(ɑ)",NA
"336","Pouvoir","INF/PART",3,"pl","Dompierre","ã pødã",NA
"337","Vouloir","INF/PART",1,"sg","Dompierre","vulɛr",NA
"338","Vouloir","INF/PART",2,"sg","Dompierre","voɡy",NA
"339","Vouloir","INF/PART",3,"sg","Dompierre","voɡy",NA
"340","Vouloir","INF/PART",1,"pl","Dompierre","voɡyd",NA
"341","Vouloir","INF/PART",2,"pl","Dompierre","voɡyd(ɑ)",NA
"342","Vouloir","INF/PART",3,"pl","Dompierre","ã vulã",NA
"343","Savoir","INF/PART",1,"sg","Dompierre","savɛr",NA
"344","Savoir","INF/PART",2,"sg","Dompierre","soɡy",NA
"345","Savoir","INF/PART",3,"sg","Dompierre","soɡy",NA
"346","Savoir","INF/PART",1,"pl","Dompierre","soɡyd",NA
"347","Savoir","INF/PART",2,"pl","Dompierre","soɡyd(ɑ)",NA
"348","Savoir","INF/PART",3,"pl","Dompierre","ã saʃã",NA
"349","Devoir","INF/PART",1,"sg","Dompierre","dəvɛr",NA
"350","Devoir","INF/PART",2,"sg","Dompierre","dəɡy",NA
"351","Devoir","INF/PART",3,"sg","Dompierre","dəɡy",NA
"352","Devoir","INF/PART",1,"pl","Dompierre","dəɡyd",NA
"353","Devoir","INF/PART",2,"pl","Dompierre","dəɡyd(ɑ)",NA
"354","Devoir","INF/PART",3,"pl","Dompierre","ã dəvã",NA
"355","Faire","INF/PART",1,"sg","Dompierre","fer",NA
"356","Faire","INF/PART",2,"sg","Dompierre","fe",NA
"357","Faire","INF/PART",3,"sg","Dompierre","fe",NA
"358","Faire","INF/PART",1,"pl","Dompierre","fet",NA
"359","Faire","INF/PART",2,"pl","Dompierre","fet(ɑ)",NA
"360","Faire","INF/PART",3,"pl","Dompierre","ã fazã",NA
"361","Venir","INF/PART",1,"sg","Dompierre","v(ə)nir",NA
"362","Venir","INF/PART",2,"sg","Dompierre","vɛ̃ɡy",NA
"363","Venir","INF/PART",3,"sg","Dompierre","vɛ̃ɡy",NA
"364","Venir","INF/PART",1,"pl","Dompierre","vɛ̃ɡyd",NA
"365","Venir","INF/PART",2,"pl","Dompierre","vɛ̃ɡyd(ɑ)",NA
"366","Venir","INF/PART",3,"pl","Dompierre","ã v(ə)nã",NA
